Description,Data.Sugar Total,Data.Carbohydrate,Data.Fiber,Data.Kilocalories,Data.Fat.Saturated Fat
"BUTTER,WITH SALT",0.059999999,0.06,0.0,717,51.368
"BUTTER,WHIPPED,WITH SALT",0.059999999,0.06,0.0,717,50.489
"BUTTER OIL,ANHYDROUS",0.0,0.0,0.0,876,61.924
"CHEESE,BLUE",0.5,2.34,0.0,353,18.669
"CHEESE,BRICK",0.50999999,2.79,0.0,371,18.764
"CHEESE,BRIE",0.449999988,0.45,0.0,334,17.41
"CHEESE,CAMEMBERT",0.460000008,0.46,0.0,300,15.259
"CHEESE,CARAWAY",0.0,3.06,0.0,376,18.584
"CHEESE,CHEDDAR",0.519999981,1.28,0.0,403,21.092
"CHEESE,CHESHIRE",0.0,4.78,0.0,387,19.475
"CHEESE,COLBY",0.519999981,2.57,0.0,394,20.218
"CHEESE,COTTAGE,CRMD,LRG OR SML CURD",2.670000076,3.38,0.0,98,1.718
"CHEESE,COTTAGE,CRMD,W/FRUIT",2.380000114,4.61,0.200000003,97,2.311
"CHEESE,COTTAGE,NONFAT,UNCRMD,DRY,LRG OR SML CURD",1.850000024,6.66,0.0,72,0.169
"CHEESE,COTTAGE,LOWFAT,2% MILKFAT",3.670000076,3.66,0.0,86,0.979
"CHEESE,COTTAGE,LOWFAT,1% MILKFAT",2.720000029,2.72,0.0,72,0.645
"CHEESE,CREAM",3.210000038,4.07,0.0,342,19.292
"CHEESE,EDAM",1.429999948,1.43,0.0,357,17.572
"CHEESE,FETA",4.090000153,4.09,0.0,264,14.946
"CHEESE,FONTINA",1.549999952,1.55,0.0,389,19.196
"CHEESE,GJETOST",0.0,42.65,0.0,466,19.16
"CHEESE,GOUDA",2.220000029,2.22,0.0,356,17.614
"CHEESE,GRUYERE",0.360000014,0.36,0.0,413,18.913
"CHEESE,LIMBURGER",0.49000001,0.49,0.0,327,16.746
"CHEESE,MONTEREY",0.5,0.68,0.0,373,19.066
"CHEESE,MOZZARELLA,WHL MILK",1.029999971,2.19,0.0,300,13.152
