Description,Data.Sugar Total,Data.Carbohydrate,Data.Fiber,Data.Kilocalories,Data.Fat.Saturated Fat,Diabetic_Suitability
"BUTTER,WITH SALT",0.059999999,0.06,0.0,717,51.368,0
"BUTTER,WHIPPED,WITH SALT",0.059999999,0.06,0.0,717,50.489,0
"BUTTER OIL,ANHYDROUS",0.0,0.0,0.0,876,61.924,0
"CHEESE,BLUE",0.5,2.34,0.0,353,18.669,0
"CHEESE,BRICK",0.50999999,2.79,0.0,371,18.764,0
"CHEESE,BRIE",0.449999988,0.45,0.0,334,17.41,0
"CHEESE,CAMEMBERT",0.460000008,0.46,0.0,300,15.259,0
"CHEESE,CARAWAY",0.0,3.06,0.0,376,18.584,0
"CHEESE,CHEDDAR",0.519999981,1.28,0.0,403,21.092,0
"CHEESE,CHESHIRE",0.0,4.78,0.0,387,19.475,0
"CHEESE,COLBY",0.519999981,2.57,0.0,394,20.218,0
"CHEESE,COTTAGE,CRMD,LRG OR SML CURD",2.670000076,3.38,0.0,98,1.718,1
"CHEESE,COTTAGE,CRMD,W/FRUIT",2.380000114,4.61,0.200000003,97,2.311,1
"CHEESE,COTTAGE,NONFAT,UNCRMD,DRY,LRG OR SML CURD",1.850000024,6.66,0.0,72,0.169,1
"CHEESE,COTTAGE,LOWFAT,2% MILKFAT",3.670000076,3.66,0.0,86,0.979,1
"CHEESE,COTTAGE,LOWFAT,1% MILKFAT",2.720000029,2.72,0.0,72,0.645,1
"CHEESE,CREAM",3.210000038,4.07,0.0,342,19.292,0
"CHEESE,EDAM",1.429999948,1.43,0.0,357,17.572,0
"CHEESE,FETA",4.090000153,4.09,0.0,264,14.946,0
"CHEESE,FONTINA",1.549999952,1.55,0.0,389,19.196,0
"CHEESE,GJETOST",0.0,42.65,0.0,466,19.16,0
"CHEESE,GOUDA",2.220000029,2.22,0.0,356,17.614,0
"CHEESE,GRUYERE",0.360000014,0.36,0.0,413,18.913,0
"CHEESE,LIMBURGER",0.49000001,0.49,0.0,327,16.746,0
"CHEESE,MONTEREY",0.5,0.68,0.0,373,19.066,0
"CHEESE,MOZZARELLA,WHL MILK",1.029999971,2.19,0.0,300,13.152,0
"CHEESE,MOZZARELLA,WHL MILK,LO MOIST",1.00999999,2.47,0.0,318,15.561,0
"CHEESE,MOZZARELLA,PART SKIM MILK",1.129999995,2.77,0.0,254,10.114,0
"CHEESE,MOZZARELLA,PART SKIM MILK,LO MOIST",0.600000024,3.83,0.0,302,12.67,0
"CHEESE,MUENSTER",1.120000005,1.12,0.0,368,19.113,0
"CHEESE,NEUFCHATEL",3.190000057,3.59,0.0,253,12.79,0
"CHEESE,PARMESAN,GRATED",0.899999976,4.06,0.0,431,17.301,0
"CHEESE,PARMESAN,HARD",0.800000012,3.22,0.0,392,16.41,0
"CHEESE,PORT DE SALUT",0.569999993,0.57,0.0,352,16.691,0
"CHEESE,PROVOLONE",0.560000002,2.14,0.0,351,17.078,0
"CHEESE,RICOTTA,WHOLE MILK",0.270000011,3.04,0.0,174,8.295,0
"CHEESE,RICOTTA,PART SKIM MILK",0.310000002,5.14,0.0,138,4.927,1
"CHEESE,ROMANO",0.730000019,3.63,0.0,387,17.115,0
"CHEESE,ROQUEFORT",0.0,2.0,0.0,369,19.263,0
"CHEESE,SWISS",1.320000052,5.38,0.0,380,17.779,0
"CHEESE,TILSIT",0.0,1.88,0.0,340,16.775,0
"CHEESE,PAST PROCESS,AMERICAN,W/DI NA PO4",0.50999999,1.6,0.0,375,19.694,0
"CHEESE,PAST PROCESS,PIMENTO",0.629999995,1.73,0.100000001,375,19.663,0
"CHEESE,PAST PROCESS,SWISS,W/DI NA PO4",1.230000019,2.1,0.0,334,16.045,0
"CHEESE FD,COLD PK,AMERICAN",0.0,8.32,0.0,331,15.355,0
"CHEESE FD,PAST PROCESS,AMERICAN,WO/DI NA PO4",7.429999828,7.83,0.0,330,14.895,0
"CHEESE FD,PAST PROCESS,SWISS",0.0,4.5,0.0,323,15.487,0
"CHEESE SPRD,PAST PROCESS,AMERICAN,WO/DI NA PO4",7.320000172,8.73,0.0,290,13.327,0
"CREAM,FLUID,HALF AND HALF",0.159999996,4.3,0.0,130,7.158,0
"CREAM,FLUID,LT (COFFEE CRM OR TABLE CRM)",0.140000001,3.66,0.0,195,12.02,0
"CREAM,FLUID,LT WHIPPING",0.109999999,2.96,0.0,292,19.337,0
"CREAM,FLUID,HVY WHIPPING",0.109999999,2.79,0.0,345,23.032,0
"CREAM,WHIPPED,CRM TOPPING,PRESSURIZED",8.0,12.49,0.0,257,13.831,0
"CREAM,SOUR,RED FAT,CULTURED",0.159999996,4.26,0.0,135,7.47,0
"CREAM,SOUR,CULTURED",3.5,2.88,0.0,193,11.507,0
